Seaway Bank and Trust Company,IL,27-Jan-17
Proficio Bank,UT,3-Mar-17
First NBC Bank,LA,28-Apr-17
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",WI,5-May-17
Fayette County Bank,IL,26-May-17
The Farmers and Merchants State Bank of Argonia,KS,13-Oct-17
Washington Federal Bank for Savings,IL,15-Dec-17
The Enloe State Bank,TX,31-May-19
Resolute Bank,OH,25-Oct-19
Louisa Community Bank,KY,25-Oct-19
City National Bank of New Jersey,NJ,1-Nov-19
Ericson State Bank,NE,14-Feb-20
The First State Bank,WV,3-Apr-20
First City Bank of Florida,FL,16-Oct-20
Almena State Bank,KS,23-Oct-20
Silicon Valley Bank,CA,10-Mar-23
Signature Bank,NY,12-Mar-23
